t,alpha_t,q_t,Q_C,demand,supply,marginA,driftB_max,driftB_p90,miss,horizon,strategy
47,0.0885,0.9115,7.686997990495645,23,131,5.695652173913044,0.11891700792297055,0.11375600103077045,0.0,1M,pooled_trailing
48,0.089,0.911,7.549600544578852,23,131,5.695652173913044,0.12108121423669609,0.11582628063126656,0.0,1M,pooled_trailing
49,0.0895,0.9105,7.412203098662028,23,131,5.695652173913044,0.33781202250406317,0.2305688386713609,0.0,1M,pooled_trailing
50,0.09,0.91,7.274805652745266,23,131,5.695652173913044,0.34419219419628133,0.2349235350101537,0.0,1M,pooled_trailing
51,0.0905,0.9095,7.137408206828441,23,131,5.695652173913044,0.35081800667844154,0.23944589001084796,0.0,1M,pooled_trailing
52,0.091,0.909,7.02265494357245,24,131,5.458333333333333,0.35655052684336286,0.23770930285751526,0.0,1M,pooled_trailing
53,0.0915,0.9085,7.009800502290076,24,131,5.458333333333333,0.3572043625423974,0.23734969205857168,0.0,1M,pooled_trailing
54,0.092,0.908,6.996946061007708,24,131,5.458333333333333,0.3578606006302819,0.23778573910729162,0.0,1M,pooled_trailing
55,0.0925,0.9075,6.9840916197253335,24,131,5.458333333333333,0.11792752817346745,0.10739897941725558,0.0,1M,pooled_trailing
56,0.093,0.907,6.971237178442963,24,131,5.458333333333333,0.11814497773768089,0.10759701512302308,0.0,1M,pooled_trailing
57,0.0935,0.9065,6.958382737160589,24,131,5.458333333333333,0.11836323070485759,0.11413274413521095,0.0,1M,pooled_trailing
58,0.094,0.906,6.945528295878221,24,131,5.458333333333333,0.1101056592445287,0.10483968693300968,0.0,1M,pooled_trailing
59,0.0945,0.9055,6.932673854595847,25,131,5.24,0.15396583951607137,0.13213782736357899,0.0,1M,pooled_trailing
60,0.095,0.905,6.892875198694544,25,131,5.24,0.201887522271997,0.1783711712765538,0.0,1M,pooled_trailing
61,0.0955,0.9045,6.782636667432286,25,131,5.24,0.2450439760911622,0.22510639315432143,0.0,1M,pooled_trailing
62,0.096,0.904,6.672398136170079,25,131,5.24,0.2490924887050163,0.22882550548134892,0.0,1M,pooled_trailing
63,0.0965,0.9035,6.562159604907822,25,131,5.24,0.25327702424766974,0.23266957346481298,0.0,1M,pooled_trailing
64,0.097,0.903,6.45192107364559,25,131,5.24,0.2576045550461448,0.23664500214030332,,1M,pooled_trailing
0,0.1,0.9,48.61840442605065,26,127,4.884615384615385,,,0.0,1M,diversity_optimal
1,0.1005,0.8995,48.37102461593317,26,127,4.884615384615385,,,1.0,1M,diversity_optimal
2,0.096,0.904,50.970375467345406,25,127,5.08,,,0.0,1M,diversity_optimal
3,0.0965,0.9035,50.656737273962555,25,127,5.08,,,1.0,1M,diversity_optimal
4,0.092,0.908,55.36656462366736,24,127,5.291666666666667,,,0.0,1M,diversity_optimal
5,0.0925,0.9075,54.72320809247875,24,127,5.291666666666667,,,0.0,1M,diversity_optimal
6,0.093,0.907,54.07985156129028,24,127,5.291666666666667,1.6579419410780245,1.395686231372078,0.0,1M,diversity_optimal
7,0.0935,0.9065,53.436495030101675,24,127,5.291666666666667,1.67790297661232,1.4124898007666915,0.0,1M,diversity_optimal
8,0.094,0.906,52.79313849891336,24,127,5.291666666666667,1.6983505171336337,1.151573929077558,0.0,1M,diversity_optimal
9,0.0945,0.9055,52.14978196772475,25,127,5.08,1.719302568249048,1.1657805581460572,0.0,1M,diversity_optimal
10,0.095,0.905,51.59765185411097,25,127,5.08,0.6188101326509827,0.47310227412203304,0.0,1M,diversity_optimal
11,0.0955,0.9045,51.28401366072812,25,127,5.08,0.32939666513832283,0.17300013148027354,0.0,1M,diversity_optimal
12,0.096,0.904,50.970375467345406,25,127,5.08,0.017107047564411584,0.016906406507954056,0.0,1M,diversity_optimal
13,0.0965,0.9035,50.656737273962555,25,127,5.08,0.017212964837827735,0.017211432570782333,0.0,1M,diversity_optimal
14,0.097,0.903,50.34309908057977,25,127,5.08,0.017320201843357662,0.017318660030267684,0.0,1M,diversity_optimal
15,0.0975,0.9025,50.02946088719692,25,127,5.08,0.01742878340148049,0.017427231922656293,0.0,1M,diversity_optimal
16,0.098,0.902,49.715822693814204,25,127,5.08,0.017538734959007048,0.017537173692493756,0.0,1M,diversity_optimal
17,0.0985,0.9015,49.402184500431346,26,127,4.884615384615385,0.017650082608961993,0.017648511430481986,0.0,1M,diversity_optimal
18,0.099,0.901,49.1131640462855,26,127,4.884615384615385,0.01775078871676616,0.017661190869045905,0.0,1M,diversity_optimal
19,0.0995,0.9005,48.86578423616802,26,127,4.884615384615385,0.017660548052192825,0.01746233290433534,0.0,1M,diversity_optimal
20,0.1,0.9,48.61840442605065,26,127,4.884615384615385,0.017351960914287305,0.017130541322085774,0.0,1M,diversity_optimal
21,0.1005,0.8995,48.37102461593317,26,127,4.884615384615385,0.017440702569652786,0.017310573045865956,0.0,1M,diversity_optimal
22,0.101,0.899,48.12364480581575,26,127,4.884615384615385,0.01753035657876628,0.01739955812358377,0.0,1M,diversity_optimal
23,0.1015,0.8985,47.87626499569827,26,127,4.884615384615385,0.017357988485396852,0.01726461092381066,0.0,1M,diversity_optimal
24,0.10200000000000001,0.898,47.628885185580906,26,127,4.884615384615385,0.017448144194034704,0.017038054563025047,0.0,1M,diversity_optimal
25,0.10250000000000001,0.8975,47.381505375463426,27,127,4.703703703703703,0.021107094301626363,0.019323167806951008,0.0,1M,diversity_optimal
26,0.10300000000000001,0.897,47.22533730863516,27,127,4.703703703703703,0.034620389804214426,0.02789864126488266,0.0,1M,diversity_optimal
27,0.10350000000000001,0.8965,47.17352165997668,27,127,4.703703703703703,0.07711633254700898,0.055887374786334314,0.0,1M,diversity_optimal
28,0.10400000000000001,0.896,47.121706011318224,27,127,4.703703703703703,0.07720113068212157,0.062373924254998665,0.0,1M,diversity_optimal
29,0.10450000000000001,0.8955,47.06989036265974,27,127,4.703703703703703,0.07728611551281997,0.06244258694615318,0.0,1M,diversity_optimal
30,0.10500000000000001,0.895,47.018074714001266,27,127,4.703703703703703,0.641230553988725,0.3593009208225327,0.0,1M,diversity_optimal
31,0.10550000000000001,0.8945,46.96625906534279,27,127,4.703703703703703,0.641937993281438,0.414793730605582,0.0,1M,diversity_optimal
32,0.10600000000000001,0.894,46.91444341668433,27,127,4.703703703703703,0.6426469952667105,0.41525185830881184,0.0,1M,diversity_optimal
33,0.10650000000000001,0.8935,46.862627768025845,28,127,4.535714285714286,0.6433575651281149,0.41571099910862824,0.0,1M,diversity_optimal
34,0.10700000000000001,0.893,46.69322075407941,28,127,4.535714285714286,0.6456917216126765,0.4172192343060799,0.0,1M,diversity_optimal
35,0.10750000000000001,0.8925,46.43189372923881,28,127,4.535714285714286,0.6493257904179941,0.419567418979384,0.0,1M,diversity_optimal
36,0.10800000000000001,0.892,46.170566704398325,28,127,4.535714285714286,0.1908833733986133,0.11799105267255686,0.0,1M,diversity_optimal
37,0.10850000000000001,0.8915,45.90923967955773,28,127,4.535714285714286,0.04535544535595622,0.03976594122868915,0.0,1M,diversity_optimal
38,0.10900000000000001,0.891,45.64791265471718,28,127,4.535714285714286,0.045615098052123146,0.04463647637258826,0.0,1M,diversity_optimal
39,0.10950000000000001,0.8905,45.386585629876585,28,127,4.535714285714286,0.04587774080650401,0.044893484415998726,0.0,1M,diversity_optimal
40,0.11000000000000001,0.89,45.1252586050361,28,127,4.535714285714286,0.04614342556670233,0.045153469202342894,0.0,1M,diversity_optimal
41,0.11050000000000001,0.8895,44.863931580195505,29,127,4.379310344827586,0.04641220549067634,0.045416482749133534,0.0,1M,diversity_optimal
42,0.11100000000000002,0.889,44.47440576006843,29,127,4.379310344827586,0.04480981597533028,0.040044426891493456,0.0,1M,diversity_optimal
43,0.11150000000000002,0.8885,44.017691414700735,29,127,4.379310344827586,0.04527474916722378,0.034636421040429126,0.0,1M,diversity_optimal
44,0.11200000000000002,0.888,43.56097706933325,29,127,4.379310344827586,0.024249700522841085,0.02248249756844111,0.0,1M,diversity_optimal
45,0.11250000000000002,0.8875,43.10426272396555,29,127,4.379310344827586,0.020934785022201873,0.02002566443791343,0.0,1M,diversity_optimal
46,0.11300000000000002,0.887,42.64754837859795,29,127,4.379310344827586,0.021434169974430803,0.020377716840257333,0.0,1M,diversity_optimal
47,0.11350000000000002,0.8865,42.19083403323026,29,127,4.379310344827586,0.021666194136377017,0.020725879716945783,0.0,1M,diversity_optimal
48,0.11400000000000002,0.886,41.734119687862766,29,127,4.379310344827586,0.021903296577871146,0.020952691895036204,0.0,1M,diversity_optimal
49,0.11450000000000002,0.8855,41.27740534249507,30,127,4.233333333333333,0.06066106382399252,0.041403354844480204,0.0,1M,diversity_optimal
50,0.11500000000000002,0.885,40.999883863840374,30,127,4.233333333333333,0.06107166859997455,0.041683607351923016,0.0,1M,diversity_optimal
51,0.11550000000000002,0.8845,40.78177896730621,30,127,4.233333333333333,0.06139828578780848,0.041906535313843224,0.0,1M,diversity_optimal
52,0.11600000000000002,0.884,40.563674070772144,30,127,4.233333333333333,0.061728415320595746,0.041153826646298006,0.0,1M,diversity_optimal
53,0.11650000000000002,0.8835,40.34556917423798,30,127,4.233333333333333,0.0620621141606982,0.041238084495110974,0.0,1M,diversity_optimal
54,0.11700000000000002,0.883,40.12746427770386,30,127,4.233333333333333,0.06239944050890777,0.041462225948202217,0.0,1M,diversity_optimal
