date,cases_lag7,pos_lag7,cases_lag14,pos_lag14,cases_lag21,pos_lag21,rt_lag7,icu_lag7,hosp_lag7,strin_lag7,vax_lag7,deaths_lag14,deaths_roll28,target
2021-01-16,129.91,0.06,153.74,0.07,214.79,0.07,1.01,32.52,165.32,60.19,0.24,7.34,7.347499999999999,4.75
2021-01-17,382.63,0.04,484.03,0.05,205.48,0.03,0.87,40.18,232.14,84.26,0.67,1.93,1.9285714285714286,2.15
2021-01-17,885.64,0.11,791.44,0.13,509.31,0.09,1.04,48.35,516.3,87.96,3.39,10.96,0.33999999999999997,18.43
2021-01-17,452.46,0.12,392.46,0.13,394.68,0.11,1.03,37.71,309.19,52.78,0.82,4.13,4.236785714285714,5.08
2021-01-17,373.09,0.14,378.4,0.17,386.46,0.13,0.91,45.08,275.61,60.19,0.46,9.33,0.0,6.45
2021-01-17,163.63,0.05,129.91,0.07,153.74,0.07,1.01,31.83,167.73,60.19,0.24,5.87,7.2264285714285705,4.47
2021-01-17,697.34,0.14,577.64,0.15,568.91,0.12,1.03,83.86,374.04,71.76,3.17,8.22,0.0,9.75
2021-01-17,279.55,0.13,244.45,0.12,241.29,0.1,1.06,44.29,441.11,78.7,1.15,8.05,2.2325,8.16
2021-01-17,336.36,0.2,389.94,0.23,564.57,0.26,0.83,29.25,855.27,60.19,0.14,6.42,0.0,3.83
2021-01-17,796.41,0.07,575.04,0.06,409.32,0.05,1.23,32.07,232.62,85.19,20.43,3.0,0.874642857142857,5.35
2021-01-17,203.9,0.07,182.88,0.07,161.54,0.05,0.97,17.68,133.28,75.46,0.83,3.3,2.9825000000000004,3.74
2021-01-17,1232.97,0.2,944.17,0.22,639.42,0.15,1.06,112.16,655.71,73.15,0.48,12.77,10.865,15.93
2021-01-17,936.47,0.31,712.52,0.3,615.2,0.27,1.02,94.35,562.31,81.48,1.44,16.75,0.0,12.9
