date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Business_Quarter,Month,Country
1986-05-01,-0.28823824710623014,0.9086934787158064,0.03161814698563015,-0.17053683700666847,0.862681418291252,0.898440610957293,0.8481133141889586,-0.7064151058005597,-0.8916519607232877,0.7612624515829725,-0.8491930284802172,0.6232010993847801,-0.7085815763691625,-0.18788310241682357,0.6855426913809605,Q2,May,USA
1986-06-01,0.549071291747103,-0.770217281262103,-0.6200669936626372,-0.3956940132681418,0.8898074226444592,0.921288989622509,0.8791716701742577,-0.700951776210959,-0.9012755952854727,0.7944602433971423,-0.841371514680269,0.6232010993847801,-0.7045657696906857,-0.22135915958107952,1.102244622226557,Q2,June,USA
1986-08-01,-0.16862259869861113,-0.602326205264312,-0.18561023323045903,-0.6208511895296152,0.6205104452168935,0.6574270682629125,0.6065483231921837,-0.6982201114161589,-0.8901807459024207,0.5620757006979532,-0.8411437324923936,0.4436920870619902,-0.7053689310263811,-0.32641496450663876,0.6948027342886411,Q3,August,USA
1986-09-01,-0.5274695439214682,0.40502025072243364,-0.4028386134465481,-0.6208511895296152,0.5657230548456126,0.5345249023782402,0.5299013861992221,-0.6927567818265583,-0.8833825636567632,0.6653577196753707,-0.8498763750438432,0.50352842450292,-0.7045657696906857,-0.3726543219228977,0.4170014470582435,Q3,September,USA
1986-11-01,-0.28823824710623014,-0.43443512926652117,-0.6200669936626372,-0.6208511895296152,0.5748542865741594,0.5886669609626176,0.5539368000903798,-0.6872934522369576,-0.8630195108150384,0.5915848489772154,-0.8413060416091811,0.4436920870619902,-0.7109910603762486,-0.3857250103891087,0.3707012325198439,Q4,November,USA
1987-01-01,3.30023120512234,-0.602326205264312,-0.8372953738787263,-0.8460083657910886,0.5693368810834578,0.6186769550911785,0.5629213225625409,-0.6736351282629561,-0.8488562562092604,0.5288779088837834,-0.8178898037687755,0.26418307473919983,-0.7085815763691625,-0.13519320317591946,0.27810080344304466,Q1,January,USA
1987-02-01,-0.5274695439214682,-0.602326205264312,-0.6200669936626372,-0.6208511895296152,0.630729660153282,0.68317513505245,0.6202946808120241,-0.6681717986733557,-0.8152837638749807,0.5915848489772154,-0.7973436214955989,0.26418307473919983,-0.7077784150334672,0.08697985181992861,0.2595807176276846,Q1,February,USA
1987-03-01,-0.5274695439214682,-0.770217281262103,-0.8372953738787263,-0.6208511895296152,0.651359785693941,0.6824530783258403,0.6262714524981061,-0.662708469083755,-0.8118509292929575,0.5915848489772154,-0.7832902617475681,0.26418307473919983,-0.7077784150334672,0.3185076008730487,0.3151409750737636,Q1,March,USA
1987-04-01,-0.6470851923290872,-0.602326205264312,-0.8372953738787263,-0.8460083657910886,0.8057525012605072,0.6996228643462561,0.7405896490234767,-0.6558793070967543,-0.795141168299991,0.8756104011651129,-0.7890871467338788,0.08467406241641,-0.7077784150334672,0.5300595550403056,0.500341833227362,Q2,April,USA
1987-05-01,-0.5274695439214682,-0.770217281262103,-0.6200669936626372,-0.6208511895296152,0.9654657749177635,0.7088359202596498,0.7967308059536296,-0.6517818099045539,-0.7790612852119829,1.0932403697246709,-0.7910678215976953,0.08467406241641,-0.7045657696906857,0.704692417806328,0.3429211037968031,Q2,May,USA
1987-06-01,-0.6470851923290872,-0.770217281262103,-0.6200669936626372,-0.6208511895296152,0.9000689045543897,0.7120018612917067,0.7736376551396794,-0.6449526479175532,-0.7652129695586845,1.0157788554916083,-0.7761603358768375,0.024837724975480233,-0.700549963012209,0.8260776279686468,0.3799612754275233,Q2,June,USA
1987-07-01,-0.6470851923290872,-0.602326205264312,-0.8372953738787263,1.6307205730851186,0.8605480034751956,0.7213237987749862,0.686258165573382,-0.6408551507253528,-0.7475808873477432,1.0342220731661467,-0.7654930327527907,-0.03499861246545007,-0.7013531243479042,0.8744258761556336,0.5836822193964819,Q3,July,USA
1987-08-01,-0.5274695439214682,-0.602326205264312,-0.6200669936626372,-0.6208511895296152,0.9736838834734562,0.854402203691271,0.8352177394816117,-0.6340259887383521,-0.7279511923525054,1.1485700227482873,-0.7430495049790002,-0.09483494990637985,-0.6997468016765135,0.827826781442925,0.6485025197502415,Q3,August,USA
1987-09-01,-0.5274695439214682,-0.770217281262103,-0.6200669936626372,-0.6208511895296152,1.1869442466450537,0.994440653574856,1.0208413641422915,-0.6285626591487515,-0.7175852016880482,1.3920204960521998,-0.7560873453447046,-0.15467128734730962,-0.6885025429767785,0.6917320197843356,0.5744221764888011,Q3,September,USA
1987-10-01,-0.6470851923290872,-0.602326205264312,1.5522168084982542,-0.17053683700666847,1.1655289800504167,0.8919914718179174,1.0397306566713622,-0.6244651619565511,-0.6819521087789758,1.4289069314012772,-0.8043842659057555,-0.09483494990637985,-0.6756519616056526,0.49750539482307726,0.17624033145856474,Q4,October,USA
1987-11-01,-0.5274695439214682,-0.602326205264312,-0.6200669936626372,0.5049346917777516,0.9587495528219327,0.722277283939612,0.8499487110338886,-0.6190018323669504,-0.66868867975171,1.185456458097365,-0.8495428286642107,-0.21450762478823993,-0.6636045415702221,0.3004771785601729,-0.39788232881759067,Q4,November,USA
1987-12-01,-0.5274695439214682,1.0765845547135973,-0.6200669936626372,-0.3956940132681418,1.0276600895040313,0.7505208105150684,0.9132021176414046,-0.6162701675721504,-0.653886548985189,1.233408824051166,-0.8548198208377927,-0.2743439622291697,-0.6563760895489639,0.1621960620789166,-0.0552607412334333,Q4,December,USA
1988-01-01,0.668686940154722,-0.602326205264312,-0.18561023323045903,-0.17053683700666847,0.9664421420065852,0.768303771692208,0.8738375480936802,-0.6108068379825496,-0.6545884129364283,1.1153722309341176,-0.8419806889535717,-0.2743439622291697,-0.6395097014993611,0.09050312985299837,0.3151409750737636,Q1,January,USA
1988-02-01,-0.5274695439214682,-0.602326205264312,0.4660749074178083,-0.17053683700666847,0.8492879536418558,0.709029394433831,0.750197760319514,-0.6080751731877493,-0.6409470571661874,0.9456946283283609,-0.8315784830893836,-0.2743439622291697,-0.6234464747854539,0.07651670698654754,0.3892213183352027,Q1,February,USA
1988-03-01,-0.5274695439214682,-0.26654405326873026,-0.4028386134465481,0.05462033925480494,0.8763608077863045,0.7254915230804722,0.7422874742298938,-0.603977675995549,-0.6349632170690832,1.0047129248868845,-0.8208239588461604,-0.2743439622291697,-0.6178243454355863,0.1081545361086339,0.6670226055656003,Q1,March,USA
1988-04-01,-0.28823824710623014,0.23712917472464257,-0.18561023323045903,-0.8460083657910886,0.9797069272031979,0.8044121623051963,0.8569949142338777,-0.5944168492137479,-0.618640381074877,1.1338154486086567,-0.8240435856705611,-0.45385297455195955,-0.5840915693363812,0.17003187184377633,0.3521811467044838,Q2,April,USA
1988-05-01,0.07060869811662686,-0.43443512926652117,-0.18561023323045903,-0.6208511895296152,1.1094923657944484,0.9398993625675646,0.9914176584720076,-0.5903193520215475,-0.6242058022779732,1.2702952594002437,-0.8319035591766029,-0.3341802996701,-0.5784694399865136,0.24858466520038008,0.6855426913809605,Q2,May,USA
1988-06-01,-0.4078538955138492,-0.26654405326873026,0.03161814698563015,-0.6208511895296152,1.1406012852605225,1.018218713336787,1.0470453040405745,-0.5834901900345468,-0.6162333476523575,1.2075883193068118,-0.8143698249539303,-0.45385297455195955,-0.5680283426224739,0.3213203620046508,0.6762826484732811,Q2,June,USA
1988-07-01,-0.28823824710623014,-0.26654405326873026,-0.8372953738787263,0.9552490443006985,1.2294892429464002,1.1222902304850206,1.156217654397514,-0.576661028047546,-0.6158059305025643,1.2592293287955205,-0.8157449883735955,-0.45385297455195955,-0.5591935679298248,0.3652573938667467,0.5559020906734423,Q3,July,USA
1989-07-01,4.017925095568054,1.0765845547135973,1.9866735689304322,2.306192101869539,1.2821440296859652,1.5690220986695695,1.3898364285851843,-0.4947110842035375,-0.6194682206071078,0.8756104011651129,-0.7409610055820287,-0.5735256494338196,-0.5375082118660499,-0.5479804012024236,0.4262614899659229,Q3,July,USA
1989-08-01,0.668686940154722,2.5876042386937157,0.4660749074178083,0.2797775155162784,1.3756158490056354,1.5754319821794007,1.442273167820777,-0.4947110842035375,-0.5926939105184854,0.9088081929792827,-0.7232072726834284,-0.5735256494338196,-0.5383113732017454,-0.5808880650202175,0.20402046018160425,Q3,August,USA
1989-09-01,1.7452277758232932,1.4123667067091792,0.4660749074178083,1.4055633968236454,1.387453603165095,1.517751442511533,1.4396115306774147,-0.4906135870113371,-0.6019306200819103,0.9383173412585448,-0.7230781579558287,-0.5136893119928898,-0.5375082118660499,-0.5787266245552274,0.7781431204577597,Q3,September,USA
1991-05-01,3.898309447160435,1.2444756307113882,3.507272230443056,3.882292335699852,0.679467323099403,0.6317980218129264,0.6295655205571534,-0.34310368809212166,-0.6208584511259087,0.894053618839652,-0.6914757258880524,0.4436920870619902,-0.5431303412159175,-1.943410649916892,-0.8423643883862267,Q2,May,USA
1991-07-01,1.5059964790080551,2.5876042386937157,3.507272230443056,1.8558777493465917,0.7387486747181949,0.6759453106488341,0.6642399211787,-0.33490869370772086,-0.5911012192445192,0.967826489537807,-0.6883936840836649,0.38385574962105995,-0.5527682772442619,-1.2766237836969987,-0.41640241463294947,Q3,July,USA
1991-08-01,1.7452277758232932,0.9086934787158064,3.724500610659145,-0.3956940132681418,0.5627784556888498,0.5823741645902569,0.5442664950281487,-0.3294453641181202,-0.5907052959899739,0.83134667874622,-0.6769674885447369,0.4436920870619902,-0.5535714385799573,-1.1149395471892598,-0.4997428008020693,Q3,August,USA
1991-09-01,0.549071291747103,2.5876042386937157,3.941728990875234,-0.3956940132681418,0.49288437934060186,0.5366439052383207,0.4904518252635083,-0.3239820345285196,-0.5678497262957711,0.739130590373526,-0.6787421292687665,0.4436920870619902,-0.5503587932371758,-1.0747429362133571,-0.40714237172527007,Q3,September,USA
1991-10-01,1.7452277758232932,2.7554953146915064,1.769445188714343,-0.6208511895296152,0.41236054339174283,0.4511634973727785,0.4116369126507326,-0.32125036973371945,-0.5707786585538276,0.6948668679546328,-0.6774951648694129,0.50352842450292,-0.5656188586153877,-1.1207765811579669,-0.8423643883862267,Q4,October,USA
1991-11-01,1.864843424230912,2.9233863906892976,-0.4028386134465481,-0.6208511895296152,0.2599074122777175,0.28278542300995113,0.24891360047072242,-0.31305537534931827,-0.5744859399372967,0.6542917890706473,-0.677152919270545,0.50352842450292,-0.5656188586153877,-1.1949315311586608,-1.6942883358927798,Q4,November,USA
1991-12-01,1.9844590726385312,1.2444756307113882,-0.4028386134465481,-0.3956940132681418,0.08334417480140391,0.09506213530935917,0.05385488890407424,-0.307592045759718,-0.5872364683848107,0.5325665524186911,-0.6748551807582789,0.6830374368257098,-0.5616030519369108,-1.2294655888642265,-1.7776287220618983,Q4,December,USA
1992-01-01,0.788302588562341,-0.43443512926652117,-0.6200669936626372,-0.3956940132681418,0.003036925071513416,-0.009045396511990201,-0.03568762279623433,-0.30622621336231753,-0.601800145373026,0.5104346912092447,-0.6406796112113883,0.6830374368257098,-0.5648156972796924,-1.176825683891002,-1.842449022415658,Q1,January,USA
1992-02-01,-0.4078538955138492,-0.43443512926652117,-0.6200669936626372,2.5313492781310116,0.05003779965027029,0.006219182443464358,-0.012458381477588957,-0.30212871617011733,-0.5821434556104332,0.6247826407913851,-0.6434487100501219,0.7428737742666401,-0.5664220199510831,-1.0454255846910272,-1.7220684646158193,Q1,February,USA
1992-03-01,-0.4078538955138492,-0.602326205264312,-0.4028386134465481,0.05462033925480494,0.17216886010870694,0.080396625396311,0.08118987472739336,-0.29529955418311665,-0.5586985001623048,0.6985555114895405,-0.6500383686209675,0.7428737742666401,-0.5632093746083017,-0.8682974967658164,-1.0553453752628645,Q1,March,USA
1992-04-01,-0.5274695439214682,-0.602326205264312,-0.4028386134465481,0.7300918680392252,0.054790486008554073,-0.030603947349331504,-0.035869250609013116,-0.29120205699091606,-0.5371206827895889,0.6764236502800941,-0.6515412732073007,0.7428737742666401,-0.5688315039581692,-0.7075900666343954,-0.9442248603707053,Q2,April,USA
